name,Sum of EXPChange8Mar,passive,Sum of standing
Babel,74739896,0,2
The Forest,43515449,0,1
Golden Arrows,35656573,0,13
Stay n Chat,35344672,1,6
Still Friendly,21151734,0,9
Heaven and Hell,15302334,0,5
WolfBlood,13652788,0,8
The Knights Who Say Yee,12755640,0,7
Friendly Too,9107620,0,11
GorillaWizards,7769486,0,10
The Peaceful Crusade,6806349,1,28
Murder of the Universe,6579768,0,3
Babel Bootcamp,6038742,0,22
Midnight Rain,5332850,0,31
The Titans,5180787,1,21
The Cult,4557156,0,12
Ornate Garden,3174215,1,38
Friendly,2660225,1,16
Knights of the Internet,2287079,1,14
Rain Factory,2073491,0,33
Solid Step,2002997,1,37
ПРОСТОР,1944355,0,29
FairyTail,1755975,0,19
Dedly Cute,1749473,1,32
The Crimson Offensive,1109760,0,23
