,name,Sum of EXPChange15Mar,Sum of passive,Sum of standing,Diff in Standing
1,Babel,83285676,0,2,1
2,The Forest,55360353,0,1,-1
3,Golden Arrows,39763315,0,13,10
4,Stay n Chat,35387359,1,7,3
5,Still Friendly,25355594,0,9,4
6,WolfBlood,22822529,0,8,2
7,Heaven and Hell,18496649,0,5,-2
8,The Knights Who Say Yee,14226944,0,6,-2
9,Friendly Too,13194044,0,11,2
10,GorillaWizards,11038612,0,10,0
11,Murder of the Universe,9564320,0,3,-8
12,The Peaceful Crusade,8338607,1,28,16
13,The Titans,6132857,1,20,7
14,Babel Bootcamp,5996726,0,23,9
15,Midnight Rain,5740703,0,33,18
16,The Crimson Offensive,5078896,0,22,6
17,The Cult,5001950,0,12,-5
18,Ornate Garden,3769185,1,35,17
19,Rain Factory,3368568,0,31,12
20,Friendly,2805753,1,16,-4
21,Dedly Cute,2535858,1,32,11
22,Solid Step,2499277,1,36,14
23,ПРОСТОР,2471469,0,29,6
24,Knights of the Internet,2287079,1,14,-10
25,FairyTail,2250967,0,19,-6
