name,Sum of EXPChange22Mar,Sum of passive,Sum of standing
Babel,108117224,0,2
The Forest,67038798,0,1
Golden Arrows,51341890,0,12
Stay n Chat,35410206,1,8
WolfBlood,31335779,0,7
Still Friendly,28049263,0,9
Heaven and Hell,20749264,0,5
GorillaWizards,17729873,0,10
The Knights Who Say Yee,16874432,0,6
Friendly Too,14185412,0,11
Murder of the Universe,12389397,0,3
The Peaceful Crusade,9286861,1,27
The Titans,7540755,1,21
The Crimson Offensive,7419513,0,20
Babel Bootcamp,6033720,0,23
Rain Factory,5977298,0,30
Midnight Rain,5740703,0,33
The Cult,5504695,0,13
Ornate Garden,4254987,1,35
Dedly Cute,3467790,1,32
ПРОСТОР,3458656,0,29
Solid Step,3194893,1,34
FairyTail,3112919,0,19
Friendly,2961957,1,16
Knights of the Internet,2287079,1,14
