Seasonal Leaderboard Standings,Guild Name, EXP Earned ,PvE (1) or PvP (0),In-Game Leaderboard Position,Difference in Leaderboard Standings
1,Babel," 118,579,141 ",0,2,1
2,The Forest," 77,840,986 ",0,1,-1
3,Golden Arrows," 59,678,166 ",0,11,8
4,WolfBlood," 39,227,469 ",0,6,2
5,Stay n Chat," 35,410,206 ",1,8,3
6,Still Friendly," 34,643,176 ",0,9,3
7,Heaven and Hell," 23,566,796 ",0,4,-3
8,GorillaWizards," 21,279,958 ",0,10,2
9,The Knights Who Say Yee," 19,779,087 ",0,7,-2
10,Murder of the Universe," 19,073,068 ",0,3,-7
11,Friendly Too," 15,000,912 ",0,12,1
12,The Peaceful Crusade," 10,828,436 ",1,26,14
13,The Crimson Offensive," 9,515,489 ",0,19,6
14,The Titans," 8,488,737 ",1,21,7
15,Rain Factory," 7,990,928 ",0,30,15
16,The Cult," 7,628,727 ",0,13,-3
17,ПРОСТОР," 6,366,468 ",0,29,12
18,Babel Bootcamp," 6,037,460 ",1,23,5
19,Midnight Rain," 5,740,703 ",0,34,15
20,Ornate Garden," 4,871,261 ",1,35,15
21,Solid Step," 4,240,086 ",1,33,12
22,Dedly Cute," 4,226,798 ",1,31,9
23,FairyTail," 3,905,601 ",0,20,-3
24,Friendly," 3,313,921 ",1,16,-8
25,Ornate Greenhouse," 3,124,563 ",0,42,17
26,Knights of the Internet," 2,287,079 ",1,14,-12
27,Jubokko," 1,966,153 ",0,52,25
28,CHEESE CULT," 1,238,662 ",1,55,27
29,Order of Rhamnous," 1,172,504 ",0,47,18
30,Engelsmond," 1,170,509 ",1,37,7
